id,title,platform,expiry_date,yes_price,no_price,yes_volume,no_volume
KXELONMARS-99,"Will Elon Musk visit Mars before Aug 1, 2099?",Kalshi,2099-08-01T04:59:00Z,0.1,0.92,18299,18299
KXNEWPOPE-70-PPIZ,Who will the next Pope be?,Kalshi,2070-01-01T15:00:00Z,0.03,0.99,164,164
KXNEWPOPE-70-PPAR,Who will the next Pope be?,Kalshi,2070-01-01T15:00:00Z,0.03,0.99,7,7
KXNEWPOPE-70-PERD,Who will the next Pope be?,Kalshi,2070-01-01T15:00:00Z,0.03,1.0,0,0
KXNEWPOPE-70-MZUP,Who will the next Pope be?,Kalshi,2070-01-01T15:00:00Z,0.03,0.99,631,631
KXNEWPOPE-70-LANT,Who will the next Pope be?,Kalshi,2070-01-01T15:00:00Z,0.03,1.0,1285,1285
KXNEWPOPE-70-FAMB,Who will the next Pope be?,Kalshi,2070-01-01T15:00:00Z,0.03,0.99,648,648
KXNEWPOPE-70-AARB,Who will the next Pope be?,Kalshi,2070-01-01T15:00:00Z,0.03,0.99,394,394
KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Kalshi,2050-01-01T04:59:00Z,0.84,0.23,4267,4267
KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,Kalshi,2050-01-01T04:59:00Z,0.15,0.9,1246,1246
KXERUPTSUPER-0-50JAN01,When will a supervolcano next erupt?,Kalshi,2050-01-01T04:59:00Z,0.16,0.89,6347,6347
KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,Kalshi,2050-01-01T04:59:00Z,0.17,0.85,1342,1342
KXPERSONPRESMAM-45,Will  become President of the United States before 2045?,Kalshi,2045-01-29T15:00:00Z,0.06,0.96,9418,9418
KXPERSONPRESFUENTES-45,Will  become President of the United States before 2045?,Kalshi,2045-01-08T15:00:00Z,0.19,0.88,18434,18434
KXNEXTISRAELPM-45JAN01-YLEV,Will Yariv Levin be the next Prime Minister of Israel?,Kalshi,2045-01-01T15:00:00Z,0.03,1.0,0,0
KXNEXTISRAELPM-45JAN01-YLAP,Will Yair Lapid be the next Prime Minister of Israel?,Kalshi,2045-01-01T15:00:00Z,0.14,0.88,282,282
KXNEXTISRAELPM-45JAN01-YGOL,Will Yair Golan be the next Prime Minister of Israel?,Kalshi,2045-01-01T15:00:00Z,0.03,1.0,0,0
KXNEXTISRAELPM-45JAN01-YGAL,Will Yoav Gallant be the next Prime Minister of Israel?,Kalshi,2045-01-01T15:00:00Z,0.06,0.95,121,121
KXNEXTISRAELPM-45JAN01-YCOH,Will Yossi Cohen be the next Prime Minister of Israel?,Kalshi,2045-01-01T15:00:00Z,0.08,0.95,121,121
KXNEXTISRAELPM-45JAN01-NBEN,Will Naftali Bennett be the next Prime Minister of Israel?,Kalshi,2045-01-01T15:00:00Z,0.37,0.68,562,562
KXNEXTISRAELPM-45JAN01-IKAT,Will Israel Katz be the next Prime Minister of Israel?,Kalshi,2045-01-01T15:00:00Z,0.03,1.0,0,0
